ESTIMATED_VALUE_OF_PROJECT,ALTERNATE_BUILDING_TYPE
25000,"ACCESSORY BUILDING"
8800,"SINGLE UNIT DWELLING"
0,"REPAIR GARAGE"
18000,"STRIP MALL"
26000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
80000,BAR/RESTAURANT
300000,"SINGLE UNIT DWELLING"
31740,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
28100,"MULTI-UNIT DWELLING"
15000,"MULTI-UNIT DWELLING"
21625,"MULTI-UNIT DWELLING"
26375,"MULTI COMMERCIAL"
28100,"MULTI-UNIT DWELLING"
18000,"MIXED RES/COMM"
18000,"STRIP MALL"
0,"SINGLE UNIT DWELLING"
100000,"TWO UNIT DWELLING"
329000,"TWO UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
67000,"TWO UNIT DWELLING"
48000,"SINGLE UNIT DWELLING"
7000,"TWO UNIT DWELLING"
6400,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
178000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
17000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
25000,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
450000,"SINGLE UNIT DWELLING"
14000,"ACCESSORY BUILDING"
157000,OFFICE
250000,"SINGLE UNIT DWELLING"
43000,OFFICE
200000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
50000,"MULTI COMMERCIAL"
400000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
20000000,"MIXED RES/COMM"
14280,"MULTI-UNIT DWELLING"
14280,"MULTI-UNIT DWELLING"
30000,"MIXED RES/COMM"
200000,"SINGLE UNIT DWELLING"
20930,"TWO UNIT DWELLING"
7800,"SINGLE UNIT DWELLING"
70000,OFFICE
50000,OFFICE
200000,"OTHER RETAIL"
14280,TOWNHOUSE
30000,OFFICE
8000,"SINGLE UNIT DWELLING"
6200,"SINGLE UNIT DWELLING"
28000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
0,"MULTI COMMERCIAL"
77647,"SINGLE UNIT DWELLING"
58973,"MULTI COMMERCIAL"
45000,OFFICE
6000,"SINGLE UNIT DWELLING"
7800,"MULTI-UNIT DWELLING"
0,WAREHOUSE
0,"OTHER RETAIL"
4000,"ACCESSORY BUILDING"
110000,"MULTI-UNIT DWELLING"
19662,"TWO UNIT DWELLING"
45000,"TWO UNIT DWELLING"
0,BAR/RESTAURANT
20000,"ACCESSORY BUILDING"
65000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
600000,"AIRPORT TERMINAL"
18000,"SINGLE UNIT DWELLING"
330000,"TWO UNIT DWELLING"
15000,"ACCESSORY BUILDING"
115000,"MULTI COMMERCIAL"
12000,"TWO UNIT DWELLING"
375000,"SINGLE UNIT DWELLING"
1500,"SINGLE UNIT DWELLING"
86000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
0,WAREHOUSE
0,"STRIP MALL"
4246000,OFFICE
180000,"SINGLE UNIT DWELLING"
87500,"OTHER SERVICE"
67500,"MULTI-UNIT DWELLING"
58000,"SINGLE UNIT DWELLING"
22000,"ACCESSORY BUILDING"
30000,"ACCESSORY BUILDING"
4000000,"MULTI-UNIT DWELLING"
12000,"ACCESSORY BUILDING"
225000,"SINGLE UNIT DWELLING"
22794,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
100,"SINGLE UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
3850,"SINGLE UNIT DWELLING"
21000,"OTHER RETAIL"
80000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
350000,"SINGLE UNIT DWELLING"
7800,"MULTI-UNIT DWELLING"
20000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
35000,BAR/RESTAURANT
14280,"MULTI-UNIT DWELLING"
14280,"MULTI-UNIT DWELLING"
50000,"OTHER RETAIL"
250000,"TWO UNIT DWELLING"
70000,BAR/RESTAURANT
80000,"SINGLE UNIT DWELLING"
22105,"MULTI-UNIT DWELLING"
14280,"MULTI-UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
8465,OFFICE
0,"MIXED RES/COMM"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
14280,"MULTI-UNIT DWELLING"
14280,"MULTI-UNIT DWELLING"
120000,BAR/RESTAURANT
8000,"SINGLE UNIT DWELLING"
100000,"TWO UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
45000,"SINGLE UNIT DWELLING"
5000,"MULTI-UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
48000,"MULTI COMMERCIAL"
330000,"TWO UNIT DWELLING"
36000,"MEDICAL CLINIC"
24000,"SINGLE UNIT DWELLING"
219000,"MULTI COMMERCIAL"
8000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
110000,"SINGLE UNIT DWELLING"
28000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
11000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
77000,"MIXED RES/COMM"
220000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
4009000,"PRIVATE SCHOOL"
15000,"MIXED RES/COMM"
50000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
21000,"ACCESSORY BUILDING"
27000,"SINGLE UNIT DWELLING"
150000,"SHOPPING CENTRE"
285000,"SINGLE UNIT DWELLING"
700000,"MIXED RES/COMM"
15000,"TWO UNIT DWELLING"
15000,"TWO UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
7800,"MULTI-UNIT DWELLING"
149000,"MOBILE HOME"
375000,"SINGLE UNIT DWELLING"
100000,"MULTI COMMERCIAL"
250000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
45000,"ACCESSORY BUILDING"
175000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
2300000,"MIXED RES/COMM"
375000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
7200,"TWO UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
380000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
7000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
25000,"ACCESSORY BUILDING"
4000,"SINGLE UNIT DWELLING"
5000,"TWO UNIT DWELLING"
16500,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
500000,HOTEL/MOTEL
160000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
100,"COMMUNITY CENTRE"
320000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
43000,"ACCESSORY BUILDING"
8000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
155000,"SINGLE UNIT DWELLING"
12000,"STRIP MALL"
51249746,"MIXED RES/COMM"
60000,"MULTI COMMERCIAL"
8389,"SINGLE UNIT DWELLING"
1700,"SINGLE UNIT DWELLING"
157200,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
0,"AUTO DEALERSHIP"
13000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
24000,"ACCESSORY BUILDING"
2000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
1100000,"RECREATION FACILITY"
150000,"SINGLE UNIT DWELLING"
0,"TWO UNIT DWELLING"
25000,"ACCESSORY BUILDING"
20000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
46000,"ACCESSORY BUILDING"
46000,"ACCESSORY BUILDING"
35000,"ACCESSORY BUILDING"
128000,"SINGLE UNIT DWELLING"
60000,"TWO UNIT DWELLING"
15000,"MULTI-UNIT DWELLING"
19650,"SINGLE UNIT DWELLING"
55000,"MULTI-UNIT DWELLING"
100000,"ACCESSORY BUILDING"
6000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
14000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
310000,"SINGLE UNIT DWELLING"
17000,"MULTI COMMERCIAL"
220000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
75000,THEATRE
1500,"SINGLE UNIT DWELLING"
14000,"ACCESSORY BUILDING"
155000,"MULTI-UNIT DWELLING"
60000,"MULTI-UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
4000000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
200,"MULTI-UNIT DWELLING"
150000,"OTHER SERVICE"
450000,"SINGLE UNIT DWELLING"
2500,"STRIP MALL"
2500,"STRIP MALL"
13000,"SINGLE UNIT DWELLING"
8300,"ACCESSORY BUILDING"
9700,"ACCESSORY BUILDING"
400000,"SINGLE UNIT DWELLING"
5000,OFFICE
500000,"SINGLE UNIT DWELLING"
9000,"TWO UNIT DWELLING"
80000,"MULTI COMMERCIAL"
25000,"ACCESSORY BUILDING"
100000,"MULTI COMMERCIAL"
250000,"SINGLE UNIT DWELLING"
440000,"SINGLE UNIT DWELLING"
600000,"MULTI-UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
7800,"MULTI-UNIT DWELLING"
4000,"TWO UNIT DWELLING"
40000,OFFICE
23000,"ACCESSORY BUILDING"
350000,"SINGLE UNIT DWELLING"
18958,"SINGLE UNIT DWELLING"
7000,"TWO UNIT DWELLING"
600,"SINGLE UNIT DWELLING"
200000,"OTHER RETAIL"
50000,"OTHER SERVICE"
250000,"SINGLE UNIT DWELLING"
2400,"SINGLE UNIT DWELLING"
8000,"ACCESSORY BUILDING"
22000,"SINGLE UNIT DWELLING"
50000,BAR/RESTAURANT
5500,"TWO UNIT DWELLING"
5500,"TWO UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
124000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
265000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
100,"TWO UNIT DWELLING"
300000,"AIRPORT TERMINAL"
400000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
150000,"SHOPPING CENTRE"
540000,TOWNHOUSE
25000,"SINGLE UNIT DWELLING"
288000,"MULTI COMMERCIAL"
275000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
800,"SINGLE UNIT DWELLING"
30000,"MULTI-UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
280000,"TWO UNIT DWELLING"
350000,"TWO UNIT DWELLING"
24000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
176000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
240000,"TWO UNIT DWELLING"
100000,"MULTI COMMERCIAL"
250000,"MULTI COMMERCIAL"
484000,"TELEVISION STATION"
14600,"SINGLE UNIT DWELLING"
22000,"ACCESSORY BUILDING"
60000,"SINGLE UNIT DWELLING"
7500,"SINGLE UNIT DWELLING"
80000,"MULTI-UNIT DWELLING"
0,"RECREATION FACILITY"
125000,"AIRPORT TERMINAL"
15000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
319000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
18000,"MULTI-UNIT DWELLING"
13000,"SINGLE UNIT DWELLING"
55000,"ACCESSORY BUILDING"
30000,"MOBILE HOME"
7000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
30000,"MULTI-UNIT DWELLING"
0,"OTHER SERVICE"
37000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
104923,"MIXED RES/COMM"
325000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
375000,"SINGLE UNIT DWELLING"
5500,"SINGLE UNIT DWELLING"
155000,"SINGLE UNIT DWELLING"
170000,"TWO UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
850000,TOWNHOUSE
10000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
2100,"SINGLE UNIT DWELLING"
3500,"SINGLE UNIT DWELLING"
30000,"TWO UNIT DWELLING"
700000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
2300,"TWO UNIT DWELLING"
6000,"MIXED RES/COMM"
250000,"SINGLE UNIT DWELLING"
103000,"STRIP MALL"
145000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
85000,"ACCESSORY BUILDING"
16000,"SINGLE UNIT DWELLING"
23000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
100,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
6900,"SINGLE UNIT DWELLING"
346000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
330000,"SINGLE UNIT DWELLING"
7554,"SINGLE UNIT DWELLING"
38000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
10600,"SINGLE UNIT DWELLING"
40000,"PLACE OF WORSHIP"
250000,"SINGLE UNIT DWELLING"
28000,"SINGLE UNIT DWELLING"
8500,"ACCESSORY BUILDING"
160000,"SINGLE UNIT DWELLING"
23000,"ACCESSORY BUILDING"
3200,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
340000,"SINGLE UNIT DWELLING"
0,DAYCARE
50000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
825000,"STRIP MALL"
250000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
340000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
35000,"MULTI-UNIT DWELLING"
6000,"STRIP MALL"
24000,"SINGLE UNIT DWELLING"
120000,"MULTI COMMERCIAL"
3500,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
1000,TOWNHOUSE
10000,"SINGLE UNIT DWELLING"
1750000,"MULTI-UNIT DWELLING"
14000,"ACCESSORY BUILDING"
20000,"MULTI-UNIT DWELLING"
300000,"TWO UNIT DWELLING"
168000,"SINGLE UNIT DWELLING"
13200,"ACCESSORY BUILDING"
31000,"SINGLE UNIT DWELLING"
7000,"ACCESSORY BUILDING"
12500,"SINGLE UNIT DWELLING"
30000,"MULTI COMMERCIAL"
11000,"SINGLE UNIT DWELLING"
7020,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
100000,"PARKING STRUCTURE"
220000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
145000,"MULTI COMMERCIAL"
50000,"MIXED RES/COMM"
5000,"SINGLE UNIT DWELLING"
127400,"OTHER SERVICE"
10000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
7000,"ACCESSORY BUILDING"
170000,"SINGLE UNIT DWELLING"
420000,"TWO UNIT DWELLING"
25000,"ACCESSORY BUILDING"
430000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
1600,"ACCESSORY BUILDING"
300000,"REPAIR GARAGE"
53771,HOTEL/MOTEL
300000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
55000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
17000,"ACCESSORY BUILDING"
275000,"SINGLE UNIT DWELLING"
104000,WAREHOUSE
15000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
300000,"MIXED RES/COMM"
100000,"MIXED RES/COMM"
788690,"UTILITY FACILITY"
162000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
17000,"ACCESSORY BUILDING"
144524,"MOBILE HOME"
25000,"SINGLE UNIT DWELLING"
13000,"TWO UNIT DWELLING"
148650,"PRIVATE SCHOOL"
15000,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
280000,"TWO UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
450000,"TWO UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
3500,"MULTI COMMERCIAL"
150000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
375000,"SINGLE UNIT DWELLING"
17000,"SINGLE UNIT DWELLING"
80000,"OTHER SERVICE"
650000,"SINGLE UNIT DWELLING"
27000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
220000,"SINGLE UNIT DWELLING"
185000,"SINGLE UNIT DWELLING"
26000,"ACCESSORY BUILDING"
6600,"ACCESSORY BUILDING"
140000,"SINGLE UNIT DWELLING"
10000,"TWO UNIT DWELLING"
13200,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
15000,"SINGLE UNIT DWELLING"
25000,BAR/RESTAURANT
26000,"SINGLE UNIT DWELLING"
1500,"TWO UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
17000,"ACCESSORY BUILDING"
6000,SUPERMARKET
150000,"OTHER RETAIL"
15000,BAR/RESTAURANT
18000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
10000,"SINGLE UNIT DWELLING"
700000,"AQUACULTURE FACILITY"
325000,"SINGLE UNIT DWELLING"
35000,OFFICE
175000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
20000,"MULTI-UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
400000,OFFICE
93096,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
125000,"MOBILE HOME"
1000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
26300,"SINGLE UNIT DWELLING"
6000,"TWO UNIT DWELLING"
3500,"SINGLE UNIT DWELLING"
0,"MOBILE HOME"
450000,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
205000,"MULTI COMMERCIAL"
5000,"TWO UNIT DWELLING"
10000,"TWO UNIT DWELLING"
10000,"ACCESSORY BUILDING"
11000,"ACCESSORY BUILDING"
6000,"ACCESSORY BUILDING"
125000,"SINGLE UNIT DWELLING"
8000,"ACCESSORY BUILDING"
500000,"TWO UNIT DWELLING"
40000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
15000,"MULTI COMMERCIAL"
4000,"TWO UNIT DWELLING"
900000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
140000,"SINGLE UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
38280,"SINGLE UNIT DWELLING"
0,"OTHER SERVICE"
130000,"SINGLE UNIT DWELLING"
1725220,OFFICE
240000,"MULTI-UNIT DWELLING"
167000,"AIRPORT TERMINAL"
22000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
366000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
850,"BOARDING HOUSE"
300000,"SINGLE UNIT DWELLING"
340000,"SINGLE UNIT DWELLING"
2500,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
45000,"OTHER SERVICE"
33000,"STRIP MALL"
225000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
430000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
270000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
1000,"TWO UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
425000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
410000,"SINGLE UNIT DWELLING"
390549,"RECREATION FACILITY"
250000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
425000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
30000,"OTHER RETAIL"
250000,"SINGLE UNIT DWELLING"
75000,OFFICE
150000,"SINGLE UNIT DWELLING"
425000,"SINGLE UNIT DWELLING"
1700,"SINGLE UNIT DWELLING"
56029,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
0,"REPAIR GARAGE"
20000,OFFICE
80000,"ACCESSORY BUILDING"
15500,"ACCESSORY BUILDING"
21000,"ACCESSORY BUILDING"
58000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
28000,OFFICE
2000,"SINGLE UNIT DWELLING"
20000,"TWO UNIT DWELLING"
19000,"ACCESSORY BUILDING"
23000,"MULTI-UNIT DWELLING"
68000,"ACCESSORY BUILDING"
28016883,"MULTI-UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
425000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
730000,"MULTI-UNIT DWELLING"
6000,THEATRE
23673227,"SHOPPING CENTRE"
30000,"ACCESSORY BUILDING"
1301247,"PRIVATE CLUB"
40000,"SINGLE UNIT DWELLING"
12500,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
155000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
25000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
20000,"TWO UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
425000,"SINGLE UNIT DWELLING"
253300,"MULTI COMMERCIAL"
175000,BAR/RESTAURANT
200000,"BED & BREAKFAST"
11000,"TWO UNIT DWELLING"
13000,"SINGLE UNIT DWELLING"
12800,"MEDICAL OFFICE"
13269,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
20000,"MULTI-UNIT DWELLING"
1420000,WAREHOUSE
15000,"TWO UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
330000,"SINGLE UNIT DWELLING"
50000,"MULTI-UNIT DWELLING"
10000,OFFICE
16147,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
34700,"SINGLE UNIT DWELLING"
425000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
15000,"TWO UNIT DWELLING"
200000,"SHOPPING CENTRE"
195000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
220000,"SINGLE UNIT DWELLING"
22000,"ACCESSORY BUILDING"
437000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
0,"MULTI COMMERCIAL"
30000,OFFICE
750000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
51400,"SINGLE UNIT DWELLING"
525000,"MULTI-UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
100,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
12000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
68000,"SINGLE UNIT DWELLING"
27500,"MULTI COMMERCIAL"
200000,"SINGLE UNIT DWELLING"
195000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
385000,"SINGLE UNIT DWELLING"
20600403,"MULTI-UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
8000,"PLACE OF WORSHIP"
8000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
26000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
375000,"SINGLE UNIT DWELLING"
200000,"MULTI COMMERCIAL"
4995000,"NURSING HOME"
0,"MULTI COMMERCIAL"
322000,"PLACE OF WORSHIP"
22520,"SINGLE UNIT DWELLING"
4500,"OTHER SERVICE"
30000,"TWO UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
40000,WAREHOUSE
250000,FACTORY/PLANT
30000,"TWO UNIT DWELLING"
30000,"TWO UNIT DWELLING"
30000,SUPERMARKET
250000,"SINGLE UNIT DWELLING"
250000,"MULTI COMMERCIAL"
9000,"ACCESSORY BUILDING"
20000,"AQUACULTURE FACILITY"
8500,"ACCESSORY BUILDING"
15000,"SINGLE UNIT DWELLING"
185000,"SINGLE UNIT DWELLING"
12500,"ACCESSORY BUILDING"
30000,"TWO UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
310000,"SINGLE UNIT DWELLING"
4000,"PRIVATE SCHOOL"
115000,"NURSING HOME"
11000,"SINGLE UNIT DWELLING"
19000,"ACCESSORY BUILDING"
75000,"ACCESSORY BUILDING"
390000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
30000,"TWO UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
125000,"MOBILE HOME"
15000,"SINGLE UNIT DWELLING"
2000000,HOTEL/MOTEL
22000,"ACCESSORY BUILDING"
300000,WAREHOUSE
14280,"MULTI-UNIT DWELLING"
375000,"SINGLE UNIT DWELLING"
